site,kind,mutates,guard,note
Assets.Scripts.Atmospherics/Atmosphere.cs::CalculateDirectionVectorsMixInWorld,read,no,,"L1980 reads ReadonlyGlobalAtmosphere pressure for the wind Direction vector; L1983 skips entries that are the read-only copy. Only Direction (not gas) is written, on real cells"
Assets.Scripts.Atmospherics/Atmosphere.cs::CalculateGiveWeightsMixInWorld,read,no,,"L1943 reads IsGlobalAtmosphere of a _mixingAtmos entry to choose the pressure ratio; writes only MixData weights. Uses absolute Chemistry.GridVolume (8000 L) as threshold"
Assets.Scripts.Atmospherics/Atmosphere.cs::CalculateTakeWeights,read,no,,"Sets TakeWeight = 1/max(OpenNeighbors+1,2) on every _mixingAtmos entry incl. the read-only copy; MixData bookkeeping only, no gas. No IsGlobalAtmosphere guard and none needed"
Assets.Scripts.Atmospherics/Atmosphere.cs::GiveAtmospheresMixInWorld,gated,yes,"if (reference.atmos.IsGlobalAtmosphere) PlanetaryAtmosphereSimulation.GiveToGlobal(...) (L1783-1785)","L1780 takes the MixData ref; the share for a read-only entry goes to PAS.GiveToGlobal (switched), real entries get RemoveInto. No bypass"
Assets.Scripts.Atmospherics/Atmosphere.cs::IsCloseToGlobal,read,no,,"Compares this cell pressure and 13 gas quantities with ReadonlyGlobalAtmosphere; pure read. Absolute constants: clamp 0.04..1.0 of OneAtmosphere, GlobalAtmosphereNeighbourThreshold"
Assets.Scripts.Atmospherics/Atmosphere.cs::MixData,none,no,,"L213 is the field declaration MixData[] _mixingAtmos = new MixData[7]; the MixData ctor only caches GetGasVolume()"
Assets.Scripts.Atmospherics/Atmosphere.cs::MixLiquids,internal,yes,"implicit only: if (!(reference.atmos.TotalVolumeLiquids <= LiquidSolver.RenderThreshold(reference.atmos))) (L1879); the read-only copy is built gas-only (GlobalGasMix.ToInstancedGasMixture -> GasMixtureHelper.Create(this, MatterState.Gas)) so its liquid volume is always 0 and it is skipped","Cell-to-cell liquid mixing: 40 % (_mixSpeed) of each entry liquid per tick pooled and returned mole-for-mole. NO explicit IsGlobalAtmosphere guard: safe only while ReadOnlyGlobal carries no liquid. If a mod ever puts tank liquid into the copy this becomes a free liquid source+sink. Liquids; absolute RenderThreshold 0.3 L"
Assets.Scripts.Atmospherics/Atmosphere.cs::PrepareDataMixInWorld,gated,no,"entries are SampleGlobalAtmosphere (may be the read-only copy, L2040) or CloneGlobalAtmosphere (real cell, debits tank, L2048)","L2029/L2055 add this cell and each open neighbour to _mixingAtmos. The read-only copy DOES enter _mixingAtmos when IsCloseToGlobal or WorldAtmospheresCount >= 20000 (absolute). Downstream all guarded: TakeAtmospherePortion (TakeGlobalMoles), GiveAtmospheresMixInWorld (GiveToGlobal), CanGiveLiquidTo and SpawnLiquidSolverParticles check IsGlobalAtmosphere, MixLiquids skips it because it holds no liquid. Latent game bug: tests atmosphere == null then dereferences it"
Assets.Scripts.Atmospherics/Atmosphere.cs::ReactWithCell,gated,yes,"PlanetaryAtmosphereSimulation.RemoveEnergy / AddEnergy (L2293, L2297), switched","L2289 reads ReadonlyGlobalAtmosphere only as the temperature reference for GetRadiatedHeat; the energy moved on the real cell is mirrored into the PAS energy counter (ExternalInputEnergyOffset). Heat counter site; rate factors RatioOneAtmosphere*10 and 0.1*suppression are absolute"
Assets.Scripts.Atmospherics/Atmosphere.cs::RecachePressureAfterLiquidMix,read,no,,"Rebuilds each MixData from the entry PressureGasses after liquid mixing; reads only, incl. the read-only copy"
Assets.Scripts.Atmospherics/Atmosphere.cs::TakeAtmospheresMixInWorld,gated,yes,"callee TakeAtmospherePortion: if (atmosphere.IsGlobalAtmosphere) PlanetaryAtmosphereSimulation.TakeGlobalMoles(GetGlobalMoles(Gas) * takeScalar, Gas) (L1663-1665)","Takes TakeWeight of each entry into the pool; for a read-only entry the helper debits the tank through the switched TakeGlobalMoles and never Removes from the copy. Amount = GetGlobalMoles*takeScalar as returned by the switched method: check its per-cell scaling when tank volume is x0.05"
