site,kind,mutates,guard,note
Assets.Scripts/AtmosphericsController.cs::ReadonlyGlobalAtmosphere,none,no,,"Static forwarder: returns PAS.ReadOnlyGlobal(grid), the shared read-only copy (empty space copy at/above 1000 m). Wrapper: its callers need census."
Assets.Scripts/AtmosphericsController.cs::SampleGlobalAtmosphere,none,no,,"THE sampler: GetAtmosphereLocal(grid) ?? PAS.ReadOnlyGlobal(grid); null for INVALID grid. Returns real cell, crew-module internal, or the read-only copy. Wrapper, no mutation itself."
Assets.Scripts/ContactSlotData.cs::IsValid,read,no,,"PlaneCondition: plane-type trader shuttles only valid if PAS.GlobalPressure >= 1 kPa. Absolute threshold on planet pressure (intensive, independent of tank volume)."
Assets.Scripts/FragmentHandler.cs::ReadStateImmediate,none,no,,"Calls TerraForming.Deserialize(reader), which has an empty body. Planet is not networked."
Assets.Scripts/FragmentHandler.cs::WriteStateImmediate,none,no,,"Calls TerraForming.Serialize(writer), empty body. Planet is not networked."
Assets.Scripts/GameManager.cs::ClearGameAll,internal,no,,"Teardown: TerraForming.Clear (plant counts), PAS.Clear (nulls tank, clouds, caps, zeroes Latent and ExternalInput energy counters), GlobalAtmosphereLiquid.Clear (sea height -1000)."
Assets.Scripts/GameManager.cs::GameTick,internal,no,,"Host tick driver: TerraForming.UpdateGlobalVegetation (only sets a clutter-refresh flag), GlobalAtmosphereLiquid.UpdateLiquid (sea height, runs even when !RunSimulation), PAS.TickPlanetarySimulation under RunSimulation (phase change, rain/snow scheduling, read-only rebuild, temperature cache)."
Assets.Scripts/GlobalGasMix.cs::(type),internal,no,,"Tank type: 28 private mole quantities + Volume (private set: ctor or Load). Static GlobalTemperatureStateChangeOffset = 2 K absolute hysteresis for all planet phase change. _added/_removed debug counters."
Assets.Scripts/GlobalGasMix.cs::Add,internal,yes,"NONE (operates on tank objects, not cells)","Adds another GlobalGasMix into this one by matter state; used by TickPlanetarySimulation to tip full cloud buckets back into the tank (liquid+gas)."
Assets.Scripts/GlobalGasMix.cs::AddGas,internal,yes,NONE (tank object),"Private: sums 13 gas fields from other mix. Bookkeeping."
Assets.Scripts/GlobalGasMix.cs::AddLiquid,internal,yes,NONE (tank object),"Private: sums 15 liquid fields from other mix. Liquids: how rain/snow bucket contents land in the tank as liquid (global sea)."
Assets.Scripts/GlobalGasMix.cs::Create,internal,no,,"Builds a tank from world XML: Volume = data.GetVolume() (default 4e10 L), each gas = per-cell Quantity * Volume/8000. Initial moles scale with Volume, so density is volume-invariant."
Assets.Scripts/GlobalGasMix.cs::FreezeMoleQuantity,internal,yes,NONE (tank object),"Moves up to max moles of a gas/liquid from this mix to output (ice clouds or ice caps) when planet temperature < freezing + 2 K (GlobalTemperatureStateChangeOffset); returns latent energy for LatentEnergyOffset. Temperature from GetGlobalGasMixTemperature on THIS mix. Helium excluded (CanFreeze)."
Assets.Scripts/GlobalGasMix.cs::GetGlobalGasMixTemperature,read,no,,"Planet temperature formula: solar-angle base + running WeatherEvent.TemperatureOffset + solar distance + GHG (TerraForming.GetGhgIndex, mmol/L) + density (mmol/L over full Volume, liquid volume NOT subtracted) + latent/heatCap + ExternalInput/heatCap. Reads both energy counters via PAS getters. Heat capacity is whole-planet (tank+clouds+caps), so the same joules give 20x the kelvin at 0.05 volume."
Assets.Scripts/GlobalGasMix.cs::MeltMoleQuantity,internal,yes,NONE (tank object),"Melts up to max moles from this mix (ice caps) into output (tank) via Mole.MeltGlobalLiquidMoles with 2 K offset; temperature evaluated on the caps mix itself (no gas => GHG/density read the vacuum end). Returns latent energy."
Assets.Scripts/GlobalGasMix.cs::MixGasses,internal,yes,NONE (tank object),"Equalises gas between two GlobalGasMix by gas volume. No callers anywhere in the decompile (dead code)."
Assets.Scripts/GlobalGasMix.cs::MoveLiquids,internal,yes,NONE (tank object),"Moves all liquid to target mix. No callers anywhere in the decompile (dead code)."
Assets.Scripts/GlobalGasMix.cs::StateChangeMoleQuantity,internal,yes,NONE (tank object),"Condenses tank gas into output (liquid clouds) via Mole.ChangeState at planet total pressure computed over VolumeForGas (Volume minus liquid volume) with 2 K offset; skipped if temp < freezing+2 K. Returns latent energy. Liquids and latent heat."
Assets.Scripts/GlobalGasMix.cs::TryEvaporateGroundLiquid,internal,yes,NONE (tank object),"Evaporates tank liquid into tank gas (output is the same tank) via ChangeState; re-evaluates temperature after the move and reverts if now below freezing+2 K. Returns latent energy. Global sea -> air."
Assets.Scripts/GlobalGasMixSaveData.cs::Create,internal,no,,"Save DTO built from a tank: copies Volume and all 28 quantities. NOTE Volume is saved and GlobalGasMix.Load restores it, so an existing save keeps its old tank volume regardless of world XML."
Assets.Scripts/NetworkClient.cs::ProcessJoinData,none,no,,"Calls TerraForming.DeserializeOnJoin(reader): empty body. Client gets no planet state on join."
Assets.Scripts/NetworkServer.cs::PackageJoinData,none,no,,"Calls TerraForming.SerializeOnJoin(writer): empty body."
Assets.Scripts/OcclusionManager.cs::(type),read,no,,"Inside delegate OcclusionDynamicThingAction (line 155): on grid change calls dynamicThing.SetWorldAtmosphere() (re-samples) and moves the thing between old/new WorldAtmosphere.AllDynamicThings lists. No gas/energy change, BUT it Adds/Removes things on the shared read-only copy's AllDynamicThings list when outdoors without a cell (shared list pollution, not gas)."
Assets.Scripts/OrbitalViewController.cs::SampleWorldAtmosphere,display,no,,"Every 5 s reads ReadOnlyGlobal(0,0,0) and PAS.GlobalPressure to derive orbital-view atmosphere density (pow(P/100 kPa, 0.4)) and colour from gas mix. Read only."
Assets.Scripts/PlanetaryAtmosphereSaveData.cs::(type),internal,no,,"Save DTO: GlobalGasMix, LiquidClouds, IceClouds, IceCaps, LatentEnergyOffset, EnergyOffset (ExternalInput)."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::(type),internal,no,,"Static planet state: tank, liquid clouds, ice clouds (100,000 L each), ice caps (1e7 L), LatentEnergyOffset, ExternalInputEnergyOffset, SpaceHeight 1000, MELT/FREEZE ratios and minimum quantities, IsGlobalInteraction => false. All reservoir volumes and minimum rates are absolute."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::AddEnergy,gated,yes,IsGlobalInteraction switch (line 170),"Switched site: ExternalInputEnergyOffset += energy (positive only) under lock. Heat counter."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::CacheTemperatureCurveOffsets,internal,no,,"Per tick caches each temperature term (solar angle, weather TemperatureOffset, solar distance, GHG, density, latent, external) and AggregateTemperature for debug/UI. Reads tank and both energy counters; writes only cached display statics."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::Clear,internal,no,,"Nulls tank/clouds/caps, zeroes LatentEnergyOffset and ExternalInputEnergyOffset, clears cached temps. Note _readOnlyGlobal is not nulled."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::CloneGlobalGasMix,gated,yes,IsGlobalInteraction switch (line 104); early return at/above space height (line 96),"Switched site: sets target cell gas = tank gas * (cell.Volume/tank.Volume) and, if switched on, removes that from the tank. Gas only (ToInstancedGasMixture is MatterState.Gas): tank liquid is never cloned into cells. Scales by full Volume not VolumeForGas. Space cells get nothing."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::CondenseGlobalGasToLiquidClouds,internal,yes,NONE (tank bookkeeping),"For each gas type: tank.StateChangeMoleQuantity into _liquidClouds, latent heat added to LatentEnergyOffset. 10%/tick per Mole.ChangeState. Cloud bucket 100,000 L absolute."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::CreateGlobalAtmosphere,internal,yes,NONE (creates planet),"Builds tank from world data, clouds 100,000 L x2, ice caps 1e7 L (absolute constants), read-only space copy (empty, Mode Global) and read-only global 8000 L copy (Mode Global, SetReadOnly). Initial copy is scaled by GridVolume/VolumeForGas() whereas the per-tick rebuild uses /Volume (inconsistent; only matters with liquid in the tank)."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::EvaporateGlobalLiquid,internal,yes,NONE (tank bookkeeping),"For each liquid type: tank.TryEvaporateGroundLiquid(tank), latent to LatentEnergyOffset. Global sea evaporation."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::FreezeGlobalGasToIceClouds,internal,yes,NONE (tank bookkeeping),"For each gas: tank.FreezeMoleQuantity into _iceClouds with MoleQuantity.MaxValue: the WHOLE gas freezes out in one tick when below freezing+2 K. Latent to LatentEnergyOffset."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::FreezeGlobalLiquidToIceCaps,internal,yes,NONE (tank bookkeeping),"For each liquid: freeze into _iceCaps at max(3000 mol, 4.17e-5 of tank liquid) per tick. The 3000 mol floor is ABSOLUTE: 20x faster per cell at 0.05 volume."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::GetExternalInputEnergyOffset,read,no,,"Returns ExternalInputEnergyOffset / total planet heat capacity (tank+clouds+caps) as K; zero in GameState.None. Heat capacity scales with tank volume, so the same joules give 20x the kelvin at 0.05 volume."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::GetGlobalGasMix,none,no,,"Returns the live tank object (_globalGasMix) to any caller: exposes Add/Remove/Set on the tank outside the lock. Wrapper: callers need census."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::GetLatentTemperatureOffset,read,no,,"LatentEnergyOffset / planet heat capacity as K; zero in GameState.None."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::GiveToGlobal,gated,yes,IsGlobalInteraction switch (line 156),"Switched site: tank.Add(mix) and ExternalInputEnergyOffset += heatCapacity*(mix T - planet T). Discards everything when the switch is off. Heat counter; whatever liquid the mixture carries goes to the tank too."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::IsInSpaceAtmosphere,read,no,,"grid.y >= SpaceHeight*10 (1000 m, absolute). Pure geometry."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::Load,internal,yes,NONE (load),"Restores tank, caps, clouds (each including its saved Volume) and both energy counters; skipped entirely for saves older than 26973 or null data. Saved Volume overrides world XML volume."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::MeltIceCapsToGlobal,internal,yes,NONE (tank bookkeeping),"For each liquid type: caps.MeltMoleQuantity into tank at max(1000 mol, 1.39e-5 of caps) per tick; the 1000 mol floor is ABSOLUTE. Temperature evaluated on the caps mix. Latent to LatentEnergyOffset."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::ReadOnlyGlobal,none,no,,"Returns _readOnlySpace (empty) at/above 1000 m else _readOnlyGlobal. The read-only source itself. Wrapper."
Assets.Scripts/PlanetaryAtmosphereSimulation.cs::RegenerateGlobalFromData,internal,yes,NONE (rebuild),"Replaces the tank from world data and resets the read-only copy (scaled by VolumeForGas). Discards current tank contents; clouds, caps and energy counters untouched. Its callers are not in this worklist."
