site,kind,mutates,guard,note
Assets.Scripts.Atmospherics/Atmosphere.cs::CalculateDirectionVectorsMixInWorld,read,no,"","Wind direction only: reads ReadonlyGlobalAtmosphere pressure vs this cell's start pressure to push Direction; skips read-only neighbours for their Direction write. Uses Chemistry.GridVolume (8000 L) as absolute scale."
Assets.Scripts.Atmospherics/Atmosphere.cs::CalculateGiveWeightsMixInWorld,internal,no,"","Computes give weights for the outdoor mix; for a read-only neighbour keeps PressureRatioPreTake instead of recomputing. No gas moved here. Absolute: Chemistry.GridVolume, clamp 0.1..10."
Assets.Scripts.Atmospherics/Atmosphere.cs::CanGiveLiquidTo,read,no,"","Predicate: refuses liquid transfer to the read-only copy (IsGlobalAtmosphere => false), so GiveLiquids/EqualizeLiquidsToNeighbours never drain liquid into the planet. Liquid cannot reach the tank by flow, only via Deregister and LerpToGlobalAtmosphere."
Assets.Scripts.Atmospherics/Atmosphere.cs::CheckStressOnStructuresClient,read,no,"","Client: samples neighbour pressure (real cell or planet copy) to set Structure.Stressed. Pure read."
Assets.Scripts.Atmospherics/Atmosphere.cs::DoOpenNeighbours,read,no,"","Neighbour topology: cells either side of the space line (IsInSpaceAtmosphere; PAS.SpaceHeight 1000 m absolute) are not neighbours. No gas."
Assets.Scripts.Atmospherics/Atmosphere.cs::GetMinimumGasVolume,none,no,"","Returns Chemistry.MinimumGasVolume x100 for World/Global modes. Absolute per-cell constant, not tank-scale."
Assets.Scripts.Atmospherics/Atmosphere.cs::GiveAtmospheresMixInWorld,gated,yes,"reference.atmos.IsGlobalAtmosphere => PlanetaryAtmosphereSimulation.GiveToGlobal(...) (1783-1785)","Outdoor mix give step: the share owed to a read-only neighbour goes to switched PAS.GiveToGlobal (credits tank, books heat difference into ExternalInputEnergyOffset). Gas only (MatterState.Gas)."
Assets.Scripts.Atmospherics/Atmosphere.cs::IsValidWorld,read,no,"","Identity check: SampleGlobalAtmosphere(WorldGrid) == this. No gas."
Assets.Scripts.Atmospherics/Atmosphere.cs::LastNetworkUpdateTime,none,no,"","Census member mis-attribution: line 362 is the definition of property IsGlobalAtmosphere => Mode == Global. No planet access."
Assets.Scripts.Atmospherics/Atmosphere.cs::LerpToGlobalAtmosphere,gated,yes,"PAS.TakeGlobalGasMix(Volume) (1713) / PAS.GiveToGlobal(target) (1716)","Open outdoor cell with read-only neighbours relaxes toward planet air: takes a cell-volume of tank gas AND liquid, lerps gases and liquids (t = LerpRate 0.2..1 by WorldAtmospheresCount/20000, absolute), returns the remainder via GiveToGlobal (heat -> ExternalInputEnergyOffset). Above SpaceHeight the target is vacuum but what is shed still goes to GiveToGlobal: no sink in space. LerpLiquids means tank liquid (global sea) exchanges with cells here."
Assets.Scripts.Atmospherics/Atmosphere.cs::MixData,display,no,"","Census member mis-attribution: lines 321/324 are the DisplayName switch strings ('WorldAtmosphere: x,y,z' / 'Global Atmosphere'). Debug naming only."
Assets.Scripts.Atmospherics/Atmosphere.cs::PrepareDataMixInWorld,gated,yes,"else-branch AtmosphericsController.CloneGlobalAtmosphere(worldGrid, 0L, setStateActive: false) (2046); read-only neighbours admitted only when IsCloseToGlobal or WorldAtmospheresCount >= 20000 (2035-2039)","Builds the mix list. If the cell is close to planet air (GlobalAtmosphereNeighbourThreshold 100, absolute, scaled by planet pressure) or there are >= 20000 world cells (absolute), neighbours are sampled and the read-only copy enters _mixingAtmos; gas take/give for those is switched (TakeAtmospherePortion / GiveAtmospheresMixInWorld). Otherwise neighbours are cloned (debits tank). RESIDUAL BYPASS one level down: the copy also lands in _mixingAtmos, and MixLiquids (1871-1888, not a census site) does reference.atmos.GasMixture.RemoveInto(liquid) on every entry with no IsGlobalAtmosphere check: when the tank holds liquid above RenderThreshold, planet liquid is pulled into the pot free and the share handed back to the copy is discarded (mole count of real cells conserved, composition not). Liquid / global sea."
Assets.Scripts.Atmospherics/Atmosphere.cs::ReactWithCell,gated,yes,"World: PAS.RemoveEnergy / PAS.AddEnergy (2294, 2298); Network/Thing: AtmosphereHelper.DoConvection clones when Mode == Global (2338, 2381 samples), DoEntropy -> PAS.AddEnergy","Heat only. A World cell with no room/cell radiates to or from ReadonlyGlobalAtmosphere, booked through switched PAS.AddEnergy/RemoveEnergy (ExternalInputEnergyOffset). Pipe networks and thing atmospheres sample outdoor air for convection (DoConvection clones a real cell if it is the copy) and radiate via DoEntropy -> PAS.AddEnergy. Every radiating pipe/tank outdoors feeds the planet heat counter; the counter is divided by tank heat capacity, so at 0.05 volume each joule moves the planet 20x more. Solar gain (HasLight) is added from nowhere by design."
Assets.Scripts.Atmospherics/Atmosphere.cs::ReactWithStructures,read,no,"","Samples neighbour pressure for wall stress and damage. Pure read."
Assets.Scripts.Atmospherics/Atmosphere.cs::SpawnLiquidSolverParticles,internal,yes,"!_lowerNeighbour.IsGlobalAtmosphere (1903); !flatNeighbour.IsGlobalAtmosphere (1919)","Spawns liquid particles from this real cell toward real neighbours only; the read-only copy is explicitly excluded. Liquid moves between real cells."
Assets.Scripts.Atmospherics/Atmosphere.cs::StateChange,internal,yes,"Mode == AtmosphereMode.Global => return (2903)","Per-cell phase change; skips the read-only copy. Does not touch the planet."
Assets.Scripts.Atmospherics/Atmosphere.cs::TakeAtmospherePortion,gated,yes,"atmosphere.IsGlobalAtmosphere => PAS.TakeGlobalMoles(PAS.GetGlobalMoles(Gas) * takeScalar, Gas) (1663-1665)","Outdoor mix take step: the share from a read-only neighbour is taken from the tank through switched GetGlobalMoles/TakeGlobalMoles (per-cell moles = tank x GridVolume/GlobalVolume, so it scales with tank volume). Gas only."
Assets.Scripts.Atmospherics/Atmosphere.cs::Temperature,read,no,"","Temperature getter: clients use a cached value except for Mode Global, which reads GasMixture directly."
Assets.Scripts.Atmospherics/Atmosphere.cs::UpdateTolerance,none,no,"","Network dirty tolerance by Mode (Global => Precision). No gas."
Assets.Scripts.Atmospherics/AtmosphereHelper.cs::DoConvection,gated,yes,"worldAtmosphere.Mode != AtmosphereMode.Global (536) else AtmosphericsManager.CloneGlobalAtmosphereThreadSafe(grid) (545)","Heat only: transfers convection energy between an internal atmosphere and the outdoor cell; if outdoor is the read-only copy it clones a real cell first (debits tank). Side effect: every convecting pipe/thing outdoors instantiates a real cell."
Assets.Scripts.Atmospherics/AtmosphereHelper.cs::DoEntropy,gated,yes,"PlanetaryAtmosphereSimulation.AddEnergy(internalAtmosphere.GasMixture.RemoveEnergy(...)) (526)","Heat only: radiated energy removed from the internal atmosphere and credited to switched PAS.AddEnergy (ExternalInputEnergyOffset). One-way: planet only gains."
Assets.Scripts.Atmospherics/AtmosphereHelper.cs::IsSubmerged,read,no,"","Both overloads: GlobalAtmosphereLiquid.IsUnderGlobalLiquid(point), then local cell liquid level (AtmosphericsManager.Find). Global sea read only."
Assets.Scripts.Atmospherics/AtmosphereHelper.cs::IsValidForNetworkSend,read,no,"","Identity check by ReferenceId against SampleGlobalAtmosphere. No gas."
Assets.Scripts.Atmospherics/AtmosphericsManager.cs::CalculateParticleAtmospheres,display,no,"","Both overloads: read atmosphere.Direction for gas visualiser particles."
Assets.Scripts.Atmospherics/AtmosphericsManager.cs::CloneGlobalAtmosphereThreadSafe,gated,yes,"AtmosphericsManager.Find(worldGrid) else AtmosphericsController.World.CloneGlobalAtmosphere under _worldAtmosphereCreationLock (758-768)","Thread-safe wrapper that always returns a real cell, creating one through CloneGlobalAtmosphere -> PAS.CloneGlobalGasMix (switched debit). CloneGlobalGasMix copies ALL matter states scaled by cell/tank volume (so tank liquid materialises in the new cell) and returns empty above SpaceHeight."
Assets.Scripts.Atmospherics/AtmosphericsManager.cs::Deregister,gated,yes,"PlanetaryAtmosphereSimulation.GiveToGlobal(atmosphere.GasMixture) (391)","World cell destroyed: its entire mixture (gas AND liquid) handed to switched GiveToGlobal; heat difference booked to ExternalInputEnergyOffset. Also applies to cells above SpaceHeight, so gas up there returns to the planet. Liquids enter the tank here (global sea source)."
Assets.Scripts.Atmospherics/AtmosphericsManager.cs::ParticleMode,read,no,"","Census member mis-attribution: line 125 is inside the ProcessAtmospheresClientAction lambda; !IsGlobalAtmosphere => IsCachable = true. Keeps the read-only copy uncached on clients. No gas."
Assets.Scripts.Atmospherics/AtmosphericsManager.cs::ProcessAtmospheresClient,internal,yes,"","Client tick calls PAS.TickPlanetarySimulation(): phase change, cloud tipping, weather scheduling and the read-only rebuild run on clients against a tank that is not networked (client tank can diverge from host). Absolute rates inside (MINMeltQuantity 1000 mol, MINLiquidFreezeQuantity 3000 mol, clouds 100000 L, caps 1e7 L). Latent heat -> LatentEnergyOffset."
Assets.Scripts.Atmospherics/GasMixtureHelper.cs::Create,internal,no,"","Create(GlobalGasMix, matterState): builds an UNSCALED GasMixture copy of the whole tank at the planet temperature (GetGlobalGasMixTemperature with WorldSetting GlobalAtmosphereData). Used by PAS.GetGlobalGasMixCopy. Copy only."
Assets.Scripts.Atmospherics/LiquidSolver.cs::BuildDistantGlobalWater,display,no,"","Renders the distant global sea: GlobalAtmosphereLiquid.LiquidHeight / ratio, colour from PAS.GetGlobalGasMixCopy(All). Hard-coded render extents. Global sea display."
Assets.Scripts.Atmospherics/LiquidSolver.cs::BuildGlobalRenderBatches,display,no,"","Renders near global sea batches (25x25x4 cells around camera) from GlobalAtmosphereLiquid and tank copy colour. Global sea display."
Assets.Scripts.Atmospherics/TerraForming.cs::GetGhgIndex,internal,no,"","Sums each gas's curve at mmol/L = tank moles / tank Volume. Density based, so it scales with tank volume. Feeds the temperature formula."
Assets.Scripts.GridSystem/Room.cs::CacheRoomData,read,no,"","Sums sampled atmospheres of the room's grids into a local GasMixture for cached pressure/temperature. A room grid with no real cell contributes the planet copy (reads as outdoor air). Read only; Chemistry.GridVolume divisor."
Assets.Scripts.Inventory/InventoryManager.cs::HandleHeatHaze,display,no,"","Helmet frost / heat haze from Parent.WorldAtmosphere temperature."
Assets.Scripts.Objects.Clothing.Suits/SuitModuleHelper.cs::HandleFilters,bypass,yes,NONE,"SINK. For suits with no waste tank slot (SuitBase.HasWasteTankSlot => wasteTankSlotId > -1; which prefabs have -1 is prefab data not visible in the decompile; Suit.cs hardcodes true) GasFilter.FilterGas moves suit gas by ref into suit.WorldAtmosphere.GasMixture (54); outdoors that is the read-only copy, so filtered CO2/pollutant is destroyed instead of reaching the planet. Rate: filter rate per tick, small."
Assets.Scripts.Objects.Clothing.Suits/SuitModuleHelper.cs::RegulatePressure,bypass,yes,NONE,"SINK. Over-pressure relief for suits without a waste tank slot: suit.InternalAtmosphere.Remove(...) then suit.WorldAtmosphere.Add(gasMixture) (79) with no global check; outdoors the gas vanishes. Amount = min(PressurePerTick x Efficiency, overpressure) sized on WorldAtmosphere.Volume (66; 8000 L for the copy, absolute). Same prefab-data caveat as HandleFilters."
Assets.Scripts.Objects.Clothing/AdvancedSuit.cs::GetLogicValue,read,no,"","TemperatureExternal / PressureExternal from WorldAtmosphere."
Assets.Scripts.Objects.Clothing/SuitBase.cs::CalculateAdjustedConvectionFactor,read,no,"","Reads WorldAtmosphere temperature and AtmosphereHelper.CalculateConvection (pure calculation) to derive a convection factor. The actual heat transfer happens in Atmosphere.ReactWithCell (gated)."
Assets.Scripts.Objects.Clothing/SuitBase.cs::ConvectionFactor,read,no,"","Null check on WorldAtmosphere then CalculateAdjustedConvectionFactor."
Assets.Scripts.Objects.Clothing/SuitBase.cs::GetLogicValue,read,no,"","TemperatureExternal / PressureExternal from WorldAtmosphere."
Assets.Scripts.Objects.Electrical/Battery.cs::OnAtmosphericTick,gated,yes,"AtmosphericsController.CloneGlobalAtmosphere(WorldGrid, 0L) (553)","Heat only: every charged station battery outdoors clones a real cell each tick and adds 10..50 J (absolute) self-discharge heat. Side effect: keeps a real outdoor cell alive per battery."
Assets.Scripts.Objects.Electrical/CircuitHousing.cs::HaltAndCatchFire,gated,yes,"AtmosphericEventInstance.CloneGlobal(WorldGrid, MoleEnergy.Zero, spark: true) (248) -> CloneGlobalAtmosphere","Clones a real cell and sparks it (zero energy), then explodes. No gas created."
Assets.Scripts.Objects.Electrical/GasSensor.cs::(type),none,no,"","Field declaration: public Atmosphere WorldAtmosphere (stores the sample; see WRAPPER row)."
Assets.Scripts.Objects.Electrical/GasSensor.cs::AirIgnited,read,no,"","Reads Sparked."
Assets.Scripts.Objects.Electrical/GasSensor.cs::AirPressure,read,no,"","Reads pressure."
Assets.Scripts.Objects.Electrical/GasSensor.cs::AirTemperature,read,no,"","Reads temperature."
Assets.Scripts.Objects.Electrical/GasSensor.cs::FindAtmosphere,read,no,"","WorldAtmosphere = SampleGlobalAtmosphere(WorldGrid), once per frame on main thread. Stores the sample in a public field (WRAPPER)."
Assets.Scripts.Objects.Electrical/GasSensor.cs::GasRatio,read,no,"","AtmosphereHelper.GasRatio on the sample."
Assets.Scripts.Objects.Electrical/GasSensor.cs::GetPassiveTooltip,display,no,"","Tooltip text from the sample."
Assets.Scripts.Objects.Electrical/GasSensor.cs::PartialPressureO2,read,no,"","Reads partial pressure."
Assets.Scripts.Objects.Electrical/GasSensor.cs::TotalMoles,read,no,"","Reads TotalMoles of the 8000 L sample (per cell, not the tank)."
Assets.Scripts.Objects.Electrical/GasSensor.cs::VolumeOfLiquid,read,no,"","Reads TotalVolumeLiquids of the sample; outdoors this is tank liquid scaled to one cell."
Assets.Scripts.Objects.Electrical/HydroponicsAutomated.cs::GetPassiveTooltip,none,no,"","Name collision: Localization.GetInterface('WorldAtmosphere') string for a connector tooltip."
Assets.Scripts.Objects.Electrical/Laptop.cs::GetLogicValue,read,no,"","TemperatureExternal / PressureExternal from WorldAtmosphere."
Assets.Scripts.Objects.Electrical/Laptop.cs::HaltAndCatchFire,gated,yes,"AtmosphericEventInstance.CloneGlobal(WorldGrid, MoleEnergy.Zero, spark: true) (329)","Clones a real cell and sparks it, explodes, destroys the laptop. No gas created."
Assets.Scripts.Objects.Electrical/PowerGeneratorPipe.cs::(type),none,no,"","Field declaration: public Atmosphere WorldAtmosphere; filled from GetAtmosphereLocal, never the read-only copy."
Assets.Scripts.Objects.Electrical/PowerGeneratorPipe.cs::DoShutdown,read,no,"","Reads own WorldAtmosphere field (real cell or null); null => shutdown, so outdoors with no real cell the generator switches off whatever the planet pressure."
Assets.Scripts.Objects.Electrical/PowerGeneratorPipe.cs::IsValidAtmosphere,read,no,"","Reads own WorldAtmosphere field (real cell or null). Absolute thresholds minimumPressure and min/max temperature."
Assets.Scripts.Objects.Electrical/PowerGeneratorPipe.cs::OnAtmosphericTick,none,no,"","WorldAtmosphere = GetAtmosphereLocal(WorldGrid) (221): a real cell or null, never the copy. Combustion is between pipe networks and the internal atmosphere only; outdoor air untouched."
Assets.Scripts.Objects.Electrical/SolidFuelGenerator.cs::SmeltResource,gated,yes,"AtmosphericsController.CloneGlobalAtmosphere(WorldGrid, 0L) (116)","Clones a real cell and passes it to ImportingThing.Smelt, which adds combustion gases (ore SpawnContents) to it. Item-content gas SOURCE into a real cell; reaches the planet through the mix."
Assets.Scripts.Objects.Electrical/StirlingEngine.cs::HandlePressureCheck,gated,yes,"sample (484) used for pressure only; dump via CloneGlobalAtmosphere(WorldGrid, 0L).Add(ResetGasMixtures()) (498)","Reads outdoor pressure for the burst check; on burst dumps the working gas into a cloned real cell."
Assets.Scripts.Objects.Electrical/StirlingEngine.cs::OnAtmosphereClient,read,no,"","Client: reads sampled temperature for efficiency display."
Assets.Scripts.Objects.Electrical/StirlingEngine.cs::OnAtmosphericTick,gated,yes,"CloneGlobalAtmosphere(WorldGrid, 0L) (418, 446)","Heat + gas: clones a real outdoor cell each tick, exchanges convection heat between it and the cold side (TransferEnergyTo on the real cell), and dumps working gas into a cloned cell when the canister is missing/broken. Keeps a real cell alive while running."
Assets.Scripts.Objects.Electrical/TurbineGenerator.cs::OnAtmosphericTick,gated,yes,"CloneGlobalAtmosphere(ForwardGrid, 0L) / CloneGlobalAtmosphere(BackwardGrid, 0L) (149-150)","Clones real cells on both sides every tick and EqualizeBothWays(All) between them. Two real cells kept alive per wind turbine wall outdoors."
Assets.Scripts.Objects.Electrical/VendingMachineRefrigerated.cs::InitInternalAtmosphere,read,no,"","Reads sampled temperature to initialise internal N2 (0.858 mol created, internal only)."
Assets.Scripts.Objects.Electrical/VendingMachineRefrigerated.cs::OnAtmosphericTick,bypass,yes,NONE,"HEAT SINK. _worldAtmosphere = SampleGlobalAtmosphere (219); when cooling, the energy removed from the interior is _worldAtmosphere.GasMixture.AddEnergy(energy2) (228): outdoors the copy is read-only (Mole.Energy setter checks ReadOnly) so up to HeatTransferJoulesPerTick = 1000 J/tick (absolute) is destroyed rather than reaching a cell or ExternalInputEnergyOffset. No gas. NRE if the sample is null."
Assets.Scripts.Objects.Electrical/WallCooler.cs::OnAtmosphericTick,gated,yes,"CloneGlobalAtmosphere(WorldGrid, 0L) (98)","Heat only: removes up to 1000 J/tick (absolute) x efficiency curve from a cloned real cell into the pipe network. Real cell kept alive while powered."
Assets.Scripts.Objects.Electrical/WallHeater.cs::OnAtmosphericTick,gated,yes,"CloneGlobalAtmosphere(WorldGrid, 0L) (78); the sample at 76 only feeds IsAboveArmstrong","Heat only: adds HeatTransferJoulesPerTick (prefab value, absolute) to a cloned real cell and sparks it."
Assets.Scripts.Objects.Entities/Human.cs::FootStep,read,no,"","Footstep audio: local cell liquid depth (explicitly !IsGlobalAtmosphere) or GlobalAtmosphereLiquid.IsUnderGlobalLiquid. Global sea read."
Assets.Scripts.Objects.Entities/Human.cs::LifeDehydrate,read,no,"","Reads sampled temperature for hydration loss."
Assets.Scripts.Objects.Entities/Human.cs::set,none,no,"","BreathingAtmosphere setter: stores value into the helmet's InternalAtmosphere or base.WorldAtmosphere (799). Only assignment found: Entity.cs:1225, a CloneGlobalAtmosphere result (real cell). The getter forwards WorldAtmosphere (WRAPPER)."
Assets.Scripts.Objects.Entities/Npc.cs::NavigatePath,read,no,"","Reads WorldAtmosphere.Direction for wind push on NPC movement."
Assets.Scripts.Objects.Items/AtmosAnalyser.cs::GetScannedAtmosphere,read,no,"","Chooses which atmosphere the tablet shows: the human's / own WorldAtmosphere or a target's internals. Returns it (WRAPPER; stored in public ScannedAtmosphere)."
Assets.Scripts.Objects.Items/AtmosAnalyser.cs::PrepareText,display,no,"","Builds analyser text; Mode World and Global both label as room/world."
Assets.Scripts.Objects.Items/AtmosphericItem.cs::LeakAir,gated,yes,"if (WorldAtmosphere == null || WorldAtmosphere.IsGlobalAtmosphere) WorldAtmosphere = CloneGlobalAtmosphere(WorldGrid, 0L) (191-193)","A leaking item equalises gas both ways with a real cell (cloned if needed), scaled by LeakRatio. Only runs when LeakRatio > 0."
Assets.Scripts.Objects.Items/BatteryCell.cs::OnPowerTick,read,no,"","HandleColdLoss reads temperature / HeatExchangeRatio of WorldAtmosphere to drain charge (_lossInCold 50). The energy is not added to the air."
Assets.Scripts.Objects.Items/Dynamite.cs::OnAtmosphericTick,gated,yes,"if (WorldAtmosphere == null || WorldAtmosphere.Mode == AtmosphereMode.Global) WorldAtmosphere = CloneGlobalAtmosphere(WorldGrid, 0L) (131-135)","Clones a real cell EVERY tick for every dynamite item outdoors (even unarmed); if armed sparks it and adds EnergyReleasedPerTick 100 J (absolute)."
Assets.Scripts.Objects.Items/FertilizedEgg.cs::GetExtendedText,display,no,"","Tooltip: temperature vs hatching range."
Assets.Scripts.Objects.Items/FertilizedEgg.cs::OnAtmosphericTick,read,no,"","Reads WorldAtmosphere temperature for viability / hatching."
Assets.Scripts.Objects.Items/FireExtinguisher.cs::OnAtmosphericTick,gated,yes,"CloneGlobalAtmosphere(new WorldGrid(RootParent.Position), 0L) (78)","Clones a real cell EVERY tick for every extinguisher in existence, active or not (the clone precedes the Activate check); when active moves canister liquid/gas into it and Extinguish removes energy. Cell churn: each idle extinguisher outdoors keeps a real cell instantiated."
Assets.Scripts.Objects.Items/FireExtinguisher.cs::ShouldEmitParticles,display,no,"","Particle gate: canister pressure vs WorldAtmosphere pressure."
Assets.Scripts.Objects.Items/FireExtinguisher.cs::UseExtinguisher,read,no,"","Reads WorldAtmosphere.PressureGasses to decide activation (NRE if null)."
